de,1=的
pp,1=撇
no,1=挪
vk,1=拽
ga,1=嘎
nt,1=虐
ud,1=晒
ik,1=揣
io,1=戳
mq,1=谬
pz,1=剖
uj,1=删
cf,1=岑
ur,1=拴
ei,1=诶
dw,1=得
hh,1=行
aa,1=啊
uw,1=谁
oo,1=哦
oo,1=哦
vee,1=着
dcz,1=道
uir,1=时
tan,1=她
zim,1=自
der,1=得
kek,1=可
xbd,1=心
yir,1=以
qiz,1=起
vid,1=之
ufr,1=什
uia,1=事
jiv,1=己
jxb,1=家
viu,1=知
xmw,1=现
qkx,1=情
xpc,1=些
yiv,1=已
yzv,1=又
ugu,1=声
yil,1=意
yua,1=于
hvk,1=回
xnv,1=笑
yjm,1=眼
fhd,1=方
jma,1=见
lla,1=两
liv,1=力
qip,1=气
gok,1=国
daf,1=打
mkr,1=明
erp,1=儿
fad,1=法
jip,1=几
civ,1=此
zdr,1=再
vsh,1=种
uib,1=实
xlk,1=向
uia,2=十
div,1=第
gjx,1=感
ufu,1=神
zor,1=作
qia,1=七
bak,1=吧
jyb,1=军
mfd,1=门
vur,1=住
goa,1=果
era,1=二
hzr,1=候
gsb,1=公
xlm,1=相
sid,1=死
bul,1=部
vjv,1=战
liw,1=理
viu,2=直
vsp,1=重
wht,1=王
xlr,1=像
lmy,1=脸
her,1=何
uvv,1=水
tir,1=体
dsa,1=东
xia,1=西
bmr,1=便
mav,1=马
qki,1=轻
mwe,1=美
wwr,1=位
jim,1=机
wfx,1=文
iuw,1=处
whw,1=望
ihe,1=常
wjb,1=完
fwv,1=飞
uij,1=师
veu,1=者
anb,1=安
qkd,1=清
xbr,1=信
uja,1=山
yri,1=原
rup,1=入
lim,1=李
iht,1=场
pka,1=平
sit,1=思
bmy,1=变
uir,2=使
yza,1=由
uzy,1=受
mkr,2=命
muk,1=目
njt,1=男
rfr,1=任
gdy,1=该
jbr,1=今
hdd,1=海
yrz,1=远
jpj,1=解
dma,1=电
uia,3=世
xkx,1=性
xuy,1=许
tab,1=它
lid,1=立
jbr,2=金
hxc,1=花
igt,1=城
dve,1=队
hdz,1=孩
uin,1=始
mjd,1=满
bkq,1=兵
wun,1=物
liw,2=离
svk,1=虽
sir,1=似
vit,1=至
tsz,1=通
rfy,1=认
uif,1=失
hor,1=火
gek,1=哥
uiu,1=士
wua,1=五
jkx,1=惊
mog,1=魔
jkl,1=竟
jpn,1=姐
hup,1=乎
jmr,1=剑
jps,1=结
lqd,1=流
tub,1=突
zor,2=坐
siq,1=斯
ybl,1=音
jbx,1=紧
vif,1=指
uax,1=杀
bjd,1=半
jiy,1=记
lih,1=利
her,2=合
dcr,1=倒
uuv,1=书
wwr,2=微
buv,1=步
jnx,1=教
xiu,1=喜
ytz,1=越
ykj,1=影
ufd,1=深
gck,1=告
xlp,1=象
qmj,1=钱
yjk,1=言
sve,1=随
mwm,1=每
fuy,1=服
jia,1=击
wuv,1=武
nak,1=哪
vjl,1=站
qid,1=奇
fhh,1=房
grv,1=管
lkh,1=灵
keh,1=刻
tiu,1=题
yid,1=衣
jkq,1=静
uhr,1=伤
bdb,1=百
nah,1=拿
man,1=妈
xkr,1=星
hxr,1=化
gsg,1=功
jts,1=绝
xix,1=系
bjv,1=般
bid,1=必
yea,1=业
erx,1=尔
jmr,2=件
xtm,1=血
ddr,1=代
jkm,1=精
die,1=弟
vss,1=终
jbz,1=近
qky,1=青
jpt,1=界
sik,1=司
vgu,1=整
hry,1=欢
zib,1=字
wjr,1=晚
qpd,1=切
jnf,1=交
hog,1=或
anr,1=暗
fua,1=夫
yrk,1=员
gfm,1=根
uik,1=石
yed,1=夜
fub,1=父
vid,2=制
yzy,1=友
aae,1=阿
xix,2=息
isd,1=冲
jqd,1=酒
bcr,1=保
xkk,1=形
vfe,1=阵
nju,1=南
jtd,1=决
gew,1=各
xke,1=兴
yhe,1=阳
jix,1=急
yuy,1=语
lkr,1=令
jiv,2=及
lqw,1=刘
jim,2=极
uiy,1=识
bww,1=备
xty,1=雪
kuc,1=苦
lkl,1=领
uzw,1=收
dig,1=底
jbi,1=尽
hxh,1=华
dav,1=答
vsr,1=众
qmu,1=千
xnd,1=消
uiu,2=视
los,1=罗
gjw,1=敢
lqt,1=留
lep,1=乐
xmr,1=显
zvk,1=嘴
grb,1=官
drj,1=断
wwa,1=未
uiv,1=势
juk,1=句
jiy,2=计
daz,1=达
hdb,1=害
bap,1=八
dje,1=单
jqp,1=九
jqp,2=久
jny,1=脚
der,2=德
ncy,1=脑
iul,1=楚
yua,2=雨
jkm,2=睛
xlk,2=响
dcv,1=刀
qtu,1=确
yuw,1=玉
ifd,1=沉
bwb,1=北
gem,1=格
tkr,1=停
ife,1=陈
uij,2=市
icu,1=朝
hek,1=喝
zuf,1=族
jld,1=江
muv,1=母
vhl,1=章
llj,1=亮
keb,1=客
vcv,1=照
yir,2=易
zuk,1=足
yir,3=依
tdk,1=台
qqw,1=球
yre,1=院
bcp,1=包
yix,1=义
suy,1=诉
gsg,2=攻
sis,1=丝
wwk,1=围
wjw,1=玩
ddr,2=待
fuw,1=复
lia,1=丽
tsb,1=痛
huk,1=呼
ycf,1=摇
qiq,1=期
ykc,1=英
dir,1=低
dij,1=帝
bwb,2=背
iif,1=持
yef,1=爷
hlb,1=皇
irb,1=穿
yhm,1=杨
vgv,1=政
yyz,1=运
juu,1=居
yek,1=叶
xnm,1=校
xpy,1=谢
zge,1=曾
guu,1=古
xis,1=细
uvm,1=睡
xix,3=希
suz,1=速
uib,2=室
hkx,1=怀
luy,1=露
yiv,2=异
gvp,1=鬼
que,1=取
uig,1=式
iue,1=除
jis,1=级
kcu,1=考
jmz,1=建
yry,1=愿
vcf,1=招
fju,1=饭
buj,1=布
xus,1=续
igh,1=程
uze,1=首
gry,1=观
pgy,1=朋
wuw,1=务
gjz,1=赶
huw,1=忽
vud,1=注
uum,1=术
ufq,1=甚
hek,2=呵
vju,1=展
vgp,1=争
pbk,1=品
lje,1=兰
bcb,1=宝
xlh,1=香
dzu,1=斗
gug,1=故
lwy,1=雷
nmj,1=念
jny,2=角
yib,1=疑
huf,1=护
ujm,1=闪
tny,1=调
mwn,1=妹
baf,1=爸
xms,1=线
zog,1=左
yzd,1=游
pdd,1=派
jid,1=激
bkd,1=冰
diu,1=敌
tnz,1=跳
viu,3=支
yts,1=约
bav,1=巴
gui,1=顾
xky,1=醒
tpj,1=铁
bcf,1=抱
djd,1=淡
zcz,1=造
hor,2=伙
zic,1=资
jir,1=集
lme,1=联
uhk,1=商
hck,1=号
jpc,1=节
jly,1=讲
vhe,1=掌
vcz,1=赵
mib,1=密
bkb,1=病
wwv,1=卫
wwn,1=威
jis,2=继
jmd,1=渐
tss,1=统
yay,1=亚
jmv,1=简
lms,1=练
jiq,1=基
tvz,1=退
wwk,2=味
ffr,1=份
jue,1=举
uie,1=示
rfr,2=忍
lii,1=历
qik,1=器
ksg,1=恐
ybg,1=引
uiy,2=试
xid,1=习
dcc,1=导
moc,1=莫
viu,4=志
qux,1=区
hjd,1=汉
yzk,1=右
tdt,1=态
xkt,1=幸
ueu,1=社
yiy,1=议
uum,2=树
via,1=止
kkt,1=块
uzb,1=守
hvf,1=挥
hug,1=胡
sjc,1=散
bjm,1=板
jbr,3=仅
ybe,1=隐
ilg,1=床
suc,1=苏
lnm,1=料
guy,1=股
juu,2=局
bjw,1=班
liu,1=礼
duq,1=独
iuy,1=初
fuu,1=福
klq,1=狂
moh,1=默
jua,1=巨
jiv,3=既
ssm,1=松
vgy,1=证
lpl,1=烈
eey,1=恶
vid,3=治
hrs,1=缓
fwf,1=费
pdv,1=拍
era,2=耳
yiu,1=医
hjg,1=寒
kux,1=哭
wfd,1=温
fug,1=府
djf,1=担
igh,2=称
yur,1=余
vsj,1=钟
lwd,1=泪
yjh,1=烟
jub,1=具
whw,2=忘
bib,1=毕
jkj,1=警
ljc,1=蓝
gsb,2=宫
xik,1=吸
lue,1=陆
jqb,1=究
yai,1=压
uad,1=沙
jqq,1=救
ddk,1=呆
hed,1=河
miz,1=迷
qlm,1=枪
qrm,1=权
tjk,1=叹
iam,1=查
hcm,1=毫
iab,1=察
ugy,1=圣
jni,1=较
ugy,2=胜
yuz,1=遇
uia,4=史
the,1=堂
fhe,1=防
mgq,1=猛
qim,1=骑
tuu,1=土
vuq,1=助
jkx,2=京
ybj,1=银
ysd,1=永
vib,1=质
wuu,1=屋
xup,1=须
cid,1=刺
uuu,1=属
wfm,1=闻
jkt,1=境
jbl,1=禁
ybe,2=阴
gsc,1=共
fur,1=负
fjf,1=翻
huj,1=虎
hjk,1=喊
tcz,1=逃
xnr,1=晓
zog,2=座
yay,2=雅
cjp,1=参
ueu,2=射
hyn,1=婚
xme,1=险
jyk,1=君
hxg,1=划
jmt,1=坚
jxr,1=价
rzm,1=柔
yhf,1=扬
keh,2=科
hfq,1=狠
yel,1=野
qbh,1=秦
mih,1=秘
uuu,2=熟
vis,1=置
xmr,2=仙
mom,1=模
ufr,2=伸
jxr,2=假
qiw,1=齐
wup,1=舞
toy,1=脱
gli,1=广
gun,1=姑
mag,1=麻
tzf,1=投
dkd,1=顶
viv,1=致
zeb,1=责
jkr,1=景
ykc,2=营
wws,1=维
lak,1=啦
xqh,1=秀
bdb,2=败
mwm,2=眉
vzd,1=州
ycc,1=药
igv,1=承
ana,1=案
lhq,1=狼
vra,1=专
tzr,1=偷
hxa,1=画
wuk,1=吴
dmg,1=店
eek,1=哦
tjg,1=弹
uir,3=食
yug,1=欲
tdf,1=抬
bnm,1=标
qqq,1=秋
lii,2=厉
lld,1=良
jie,1=际
vld,1=状
fjh,1=烦
wug,1=午
bdf,1=摆
xiy,1=戏
irv,1=船
dru,1=短
cym,1=村
mof,1=摸
fur,2=付
yjd,1=演
gvf,1=规
xnc,1=萧
fgt,1=封
wof,1=握
tmk,1=田
thg,1=唐
vfy,1=震
xuy,2=虚
tzz,1=透
jis,3=纪
lkd,1=凌
xqr,1=休
mak,1=嘛
mwm,3=梅
zic,2=紫
geg,1=歌
lba,1=临
dum,1=毒
zsb,1=宗
vuc,1=著
sou,1=索
ybe,3=印
hud,1=湖
jbl,2=劲
vie,1=职
jif,1=技
hfx,1=恨
pop,1=婆
jpm,1=杰
yux,1=羽
zjk,1=咱
sux,1=素
fjd,1=凡
vir,1=值
pnp,1=飘
yhe,2=养
hwk,1=嘿
xxk,1=吓
uze,2=兽
xxw,1=夏
duy,1=读
jpr,1=街
fhr,1=仿
xsy,1=胸
fub,2=富
uhe,1=尚
yub,1=宇
guy,2=骨
viu,5=智
ffs,1=纷
ugp,1=升
uuu,3=叔
uje,1=善
rog,1=弱
jxj,1=架
mdu,1=卖
ddd,1=袋
whx,1=网
vuw,1=朱
mak,2=骂
xsa,1=雄
bwm,1=杯
uif,2=施
qlt,1=墙
hrw,1=环
zvs,1=罪
yaa,1=牙
ilb,1=窗
lqm,1=柳
tki,1=厅
gcf,1=搞
drl,1=端
dsd,1=洞
uiz,1=适
ysf,1=拥
uic,1=释
yhd,1=洋
jmh,1=肩
hyy,1=魂
mgc,1=蒙
dgh,1=灯
jpr,2=借
bor,1=伯
mmp,1=免
cdc,1=菜
yjm,2=验
fgy,1=凤
yup,1=鱼
xur,1=徐
xkx,2=型
nan,1=娜
bcr,2=暴
whd,1=亡
tcy,1=讨
bwf,1=辈
dsx,1=懂
tvy,1=腿
mnn,1=妙
xnj,1=效
wwp,1=危
yzr,1=优
pjv,1=盘
dka,1=丁
quz,1=趣
ycn,1=妖
uiy,3=诗
ykz,1=迎
uer,1=舍
jqr,1=旧
cdc,2=彩
wwh,1=委
biv,1=笔
gzq,1=狗
xmy,1=鲜
vis,2=纸
tjf,1=探
hju,1=韩
niu,1=尼
ksf,1=控
xix,4=惜
vuw,2=珠
gva,1=归
tkf,1=挺
ffd,1=奋
pwe,1=陪
yku,1=硬
biz,1=避
yrk,2=园
xyy,1=训
ysl,1=勇
ndn,1=奶
vlg,1=庄
bfd,1=奔
vfj,1=镇
qru,1=拳
cdm,1=采
yju,1=研
jpr,3=介
mcr,1=冒
lvx,1=虑
jkc,1=敬
djp,1=丹
uuu,4=舒
dji,1=蛋
hgk,1=哼
ssb,1=宋
jid,2=济
fun,1=妇
jmv,2=箭
zef,1=择
fjq,1=犯
xbj,1=欣
jxa,1=甲
key,1=课
puf,1=扑
fwc,1=菲
yje,1=燕
qua,1=曲
dou,1=躲
xrd,1=玄
hrs,2=幻
iac,1=茶
vef,1=折
yir,4=伊
uar,1=傻
xkn,1=姓
yrd,1=源
lod,1=洛
bmz,1=遍
ifa,1=臣
qid,2=弃
yzq,1=犹
pnd,1=漂
tnf,1=挑
hoc,1=获
fgu,1=峰
jyr,1=俊
fgb,1=疯
qin,1=妻
lmx,1=恋
wuy,1=误
bdp,1=拜
wwr,3=伟
yih,1=移
nas,1=纳
dhe,1=党
bas,1=罢
ycy,1=腰
qng,1=巧
guz,1=孤
bim,1=闭
yrk,3=圆
jkj,2=镜
hzi,1=厚
lwt,1=累
zor,3=昨
yzu,1=幽
bwf,2=悲
vha,1=丈
pdp,1=牌
jle,1=降
yjy,1=颜
lcc,1=劳
pmr,1=偏
ugu,2=省
hum,1=糊
gru,1=馆
uch,1=烧
wwy,1=谓
cdb,1=财
jmv,3=舰
hjd,2=汗
ndd,1=奈
ccf,1=操
jiz,1=迹
uiv,2=尸
qnx,1=悄
cjd,1=残
jmd,2=尖
luy,2=鲁
fgj,1=锋
qrk,1=圈
yzd,2=油
lxr,1=俩
xlg,1=项
vlf,1=撞
uym,1=瞬
yix,2=忆
gde,1=盖
yza,2=尤
tur,1=徒
xlv,1=乡
gdm,1=概
huu,1=户
dhc,1=荡
yic,1=艺
zuu,1=祖
dmu,1=殿
xyz,1=迅
fjc,1=范
lvr,1=律
fjt,1=番
qir,1=企
cjx,1=惨
xme,2=限
juq,1=聚
pkr,1=凭
juj,1=剧
svu,1=碎
thu,1=躺
yrs,1=缘
lld,2=凉
tgy,1=腾
vis,3=织
qlf,1=抢
yuy,2=预
ufd,2=沈
tif,1=替
ksz,1=孔
pif,1=批
khg,1=康
hoh,1=惑
wwk,3=唯
lvu,1=率
grx,1=惯
dgd,1=登
dkm,1=盯
uch,2=稍
xrb,1=宣
ihk,1=唱
igy,1=诚
ugi,1=剩
yck,1=咬
yuy,3=育
vuy,1=诸
iuj,1=触
ifr,1=晨
cev,1=策
mjd,2=漫
cdm,2=材
buy,1=补
sih,1=私
tuk,1=吐
iys,1=纯
aic,1=艾
bwr,1=贝
gub,1=谷
tkg,1=庭
dhf,1=挡
hlr,1=晃
jiu,1=吉
zir,1=仔
izr,1=仇
nkd,1=凝
guu,2=鼓
nsd,1=农
xig,1=席
vgr,1=征
fue,1=附
qtf,1=缺
sdb,1=塞
hcd,1=豪
yid,2=亦
dum,2=杜
nun,1=努
mzy,1=谋
djy,1=胆
mfm,1=闷
iiz,1=迟
wfh,1=稳
yiy,2=翼
noy,1=诺
xmm,1=闲
hvh,1=灰
doj,1=朵
ugi,2=盛
lld,3=梁
jkr,2=晶
bch,1=爆
lyr,1=伦
jnn,1=娇
cer,1=侧
lgx,1=愣
biz,2=鼻
lyi,1=轮
hyu,1=昏
dzf,1=抖
xme,3=陷
mbm,1=敏
ciy,1=词
hlx,1=慌
ffx,1=愤
lmx,2=怜
ijy,1=颤
jpe,1=阶
chc,1=苍
juz,1=距
vgg,1=郑
irp,1=川
biz,3=逼
xmq,1=县
yzx,1=忧
tsl,1=童
vif,2=执
rsc,1=荣
bib,2=臂
vuz,1=逐
aor,1=傲
ddg,1=戴
mhc,1=芒
qkg,1=庆
bjr,1=伴
xil,1=袭
gsr,1=供
jih,1=积
ycz,1=遥
zue,1=阻
lir,1=例
vgm,1=睁
dcu,1=岛
yiz,1=遗
dgm,1=瞪
muc,1=慕
vzp,1=皱
bou,1=博
muc,2=幕
cdq,1=猜
yie,1=益
jkd,1=净
zed,1=泽
lmh,1=炼
jmm,1=监
jiy,3=鸡
vfw,1=珍
fur,3=伏
ucs,1=绍
ccc,1=曹
pav,1=爬
yae,1=丫
vah,1=炸
bib,3=壁
ysd,2=涌
xsx,1=凶
lhe,1=郎
sub,1=宿
yrx,1=怨
zvy,1=醉
poz,1=迫
gea,1=革
qnm,1=瞧
uui,1=输
lic,1=莉
vsv,1=忠
keg,1=颗
enk,1=嗯
jxr,3=佳
lvf,1=旅
rfr,3=仁
pmm,1=骗
hcd,2=浩
tat,1=塔
phy,1=胖
xus,2=绪
fgm,1=枫
baf,2=拔
pch,1=炮
fur,4=傅
kdu,1=凯
xpy,2=邪
fhc,1=芳
hyd,1=浑
dod,1=夺
dvt,1=堆
lpl,2=裂
zcz,2=遭
iit,1=赤
xrf,1=旋
nqf,1=扭
jpd,1=洁
fud,1=浮
xix,5=悉
hvf,2=慧
dmb,1=典
uhe,2=赏
csp,1=匆
pky,1=评
zss,1=纵
lmc,1=莲
wuy,2=雾
wup,2=乌
ytz,2=跃
vld,2=壮
fga,1=丰
gee,1=隔
jmr,3=健
xbl,1=辛
dif,1=抵
vud,2=竹
ier,1=彻
mom,2=摩
hsi,1=轰
bms,1=编
duy,2=肚
iaf,1=插
mom,3=磨
aik,1=哎
yur,2=御
nde,1=耐
jux,1=惧
uip,1=氏
hvg,1=辉
fuf,1=扶
hvx,1=恢
mce,1=貌
uuz,1=述
luu,1=录
tof,1=拖
bhy,1=膀
yky,1=鹰
mgz,1=孟
diz,1=递
rvw,1=瑞
iyi,1=唇
zjv,1=暂
hoh,2=货
qbw,1=琴
zsz,1=踪
mau,1=码
wwu,1=尾
www,1=慰
uei,1=蛇
lkw,1=玲
yyr,1=晕
syf,1=损
xri,1=轩
yjf,1=掩
piu,1=屁
yzr,2=悠
yhr,1=仰
lky,1=零
mgr,1=盟
tuz,1=途
hsd,1=洪
wux,1=悟
guk,1=固
yay,3=讶
dsw,1=冬
hxd,1=滑
tmu,1=甜
yuy,4=郁
lbw,1=琳
lli,1=辆
vuq,2=猪
nin,1=妮
vgf,1=挣
djr,1=旦
tjt,1=坦
gja,1=甘
pwr,1=佩
ldc,1=莱
xlz,1=享
hzk,1=吼
gzm,1=构
ffm,1=粉
sac,1=萨
wfk,1=吻
qmd,1=潜
our,1=偶
jpc,2=戒
nsd,2=浓
hvj,1=毁
xnj,2=销
diz,2=迪
juf,1=拒
leg,1=勒
lhy,1=朗
xik,2=嘻
vhj,1=帐
fwg,1=废
yjz,1=延
qng,2=敲
ljh,1=烂
mjr,1=曼
yji,1=厌
yib,2=宜
xqe,1=羞
wwk,4=喂
ybk,1=吟
did,1=滴
vzd,2=洲
dpf,1=爹
yjf,2=艳
qkr,1=晴
fuf,2=抚
sos,1=缩
xpu,1=协
yha,1=央
hvx,2=悔
xne,1=肖
ijs,1=缠
cvy,1=脆
hfb,1=痕
wur,1=伍
jib,1=寂
qih,1=启
xly,1=翔
bcc,1=薄
hzr,2=侯
qry,1=劝
gox,1=郭
nun,2=奴
mkk,1=鸣
qkr,2=倾
bir,1=彼
rgf,1=扔
yuy,5=豫
jmm,2=检
vfj,2=针
ycg,1=耀
iib,1=痴
mun,1=姆
pmv,1=篇
yim,1=椅
iha,1=厂
dsc,1=董
xsn,1=熊
mdt,1=埋
gkp,1=乖
huq,1=狐
jlc,1=蒋
taz,1=踏
lse,1=隆
kof,1=括
icd,1=潮
aik,2=唉
cse,1=聪
hrk,1=唤
tdu,1=泰
bjp,1=版
qif,1=旗
yir,5=仪
jnr,1=焦
mcq,1=猫
dcc,2=盗
uir,4=侍
jif,2=挤
kru,1=款
uif,3=拾
hlc,1=荒
zic,3=姿
yut,1=域
daf,2=搭
mdy,1=脉
uzf,1=授
sur,1=俗
rsi,1=融
yuq,1=狱
qiq,2=欺
fhy,1=访
soj,1=锁
bay,1=霸
qmd,2=牵
iid,1=池
ghd,1=港
njk,1=喃
tkz,1=廷
igq,1=乘
maw,1=玛
fga,2=奉
ief,1=扯
ytq,1=岳
jmd,3=减
wjg,1=弯
jxa,2=夹
ciu,1=辞
anu,1=岸
qiu,1=岂
quu,1=屈
ncx,1=恼
vev,1=哲
jih,2=季
vcd,1=召
shu,1=丧
ihe,2=尝
gsc,2=恭
zdi,1=载
uzb,2=瘦
jpb,1=皆
pop,2=颇
mhc,2=茫
rjd,1=染
suv,1=肃
ulx,1=爽
rec,1=惹
aid,1=哀
qny,1=乔
ifz,1=趁
puj,1=铺
lvk,1=吕
jld,2=奖
bwr,2=倍
vff,1=振
tkn,1=婷
lcb,1=牢
rcf,1=扰
lqd,2=溜
phg,1=庞
izz,1=臭
ytx,1=悦
hei,1=赫
ykw,1=赢
gvz,1=跪
mdw,1=麦
vim,1=枝
xxr,1=侠
qrb,1=泉
jpq,1=劫
yjh,2=炎
nid,1=泥
dub,1=赌
gsv,1=弓
www,2=魏
vcs,1=罩
jib,2=疾
uiu,3=饰
fuv,1=符
ivp,1=垂
ykr,1=映
mod,1=漠
boy,1=脖
ybu,1=饮
yjd,2=沿
ljx,1=懒
fuy,2=肤
kjt,1=堪
rjh,1=燃
voz,1=卓
vuu,1=祝
ldu,1=赖
jxx,1=贾
irk,1=喘
yjh,3=焰
ick,1=吵
mkb,1=冥
xpg,1=鞋
yiz,2=逸
kug,1=库
kuy,1=裤
wju,1=碗
hhv,1=航
tiz,1=踢
yin,1=姨
sry,1=酸
xnk,1=啸
lki,1=龄
gem,2=阁
ueq,1=舌
xlv,2=箱
fgd,1=冯
bhf,1=邦
ghj,1=钢
xxy,1=霞
cur,1=促
pcd,1=泡
dym,1=盾
yhe,3=羊
biw,1=碧
yrf,1=援
jij,1=忌
mof,2=抹
qmr,1=倩
pfk,1=喷
ljf,1=拦
jxu,1=嘉
xqy,1=袖
uud,1=殊
ifi,1=辰
fjm,1=繁
los,2=络
pcf,1=抛
jxn,1=嫁
vzk,1=咒
ief,2=撤
jmj,1=键
uid,1=湿
isa,1=虫
ufb,1=审
xmn,1=献
mwn,2=媚
xmb,1=贤
gec,1=葛
uau,1=刹
yrt,1=袁
ukf,1=摔
xug,1=序
vuv,1=筑
xpy,3=斜
waa,1=瓦
tud,1=涂
wjd,1=湾
uac,1=莎
isu,1=崇
lpq,1=猎
xkk,2=刑
moh,2=墨
wan,1=娃
tim,1=梯
tcm,1=桃
dza,1=豆
jxj,2=驾
qmd,3=浅
